71960421000102-ESTAMPARIA DE METAIS RQM - PRODUTOS CADASTRADOS - 20/07/2026-14:46:21;;;;;;;;;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;GRUPO;MARCA;CÓD FAB;OBS;TIPO;SITUAÇÃO;;
;;;;;;;TODOS;ATIVO;;
CÓDIGO;CÓD BARRAS;DESCRIÇÃO;;NCM;UNIDADE;CUSTO;PREÇO 1;PREÇO 2;QTDE ATUAL;INCLUSÃO
1;;TUBO QUA 15 X 15 P 0,95 GALV - 2,60;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;23,14;31,24;32,4;0;15/04/2025
2;;TUBO QUA 15 X 15 P 1,11 GALV - 3,13 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;26,7;36,05;37,38;102;15/04/2025
4;;TUBO QUA 20 X 20 P 0,80 GALV - 3,00 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;26,4;34,32;35,64;152;15/04/2025
5;;TUBO QUA 20 X 20 P 1,11 GALV - 3,9 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;35,2;45,76;47,52;138;15/04/2025
7;;TUBO QUA 25 X 25 P 0,90 - 4,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;39,6;41,82;41,82;80;15/04/2025
8;;TUBO QUA 25 X 25 P 1,11 GALV - 5,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44,88;58,34;60,59;149,5;15/04/2025
9;;TUBO QUA 25 X 25 P 1,25 GALV - 5,60;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;49,28;64,06;66,53;0;15/04/2025
10;;TUBO QUA 30 X 30 P 1 MM GALV - 5,49 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;48,5;63,05;63,05;116;15/04/2025
11;;TUBO QUA 30 X 30 P 1,11 GALV - 6,2 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;53,68;69,78;72,47;104;15/04/2025
12;;TUBO QUA 30 X 30 P 1,25 GALV - 6,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;59,84;77,79;80,78;0;15/04/2025
13;;TUBO QUA 40 X 40 P 0,95 GALV - 7,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;62,48;84,35;87,47;15;15/04/2025
14;;TUBO QUA 40 X 40 P 1,11 GALV - 8,40;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;73,92;99,79;103,49;0;15/04/2025
15;;TUBO QUA 40 X 40 P 1,25 GALV - 9,20 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;110,48;114,58;143;15/04/2025
17;;TUBO QUA 50 X 50 P 1,11 GALV - 10,30;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;90,64;122,36;126,9;50,5;15/04/2025
18;;TUBO QUA 50 X 50 P 1,25 GALV - 11,50 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;101,2;136,62;141,68;39,5;15/04/2025
22;;TUBO QUA 20 X 20 P 0,95 GALV - 3,4 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;30,8;40,04;41,58;247;15/04/2025
23;;TUBO QUA 60 X 60 P 1,25 GALV - 14,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;123,2;166,32;172,48;0;15/04/2025
25;;TUBO QUA 80 X 80 P 1,11 GALV - 16,70 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;145,2;196,02;203,28;35,5;15/04/2025
26;;TUBO QUA 80 X 80 P 1,25 GALV - 18,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;158,4;213,84;221,76;0;15/04/2025
28;;TUBO RET 40 X 20 P 0,95 GALV - 5,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44;57,2;59,4;0;15/04/2025
29;;TUBO RET 30 X 20 P 0,80 GALV - 3,80;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;32,56;42,33;43,96;0;15/04/2025
30;;TUBO RET 30 X 20 P 1,11 GALV - 5,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;44,88;58,34;60,59;196;15/04/2025
32;;TUBO RET 50 X 20 P 1,25 GALV - 8,1;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;71,28;96,23;99,79;0;15/04/2025
33;;TUBO RET 40 X 30 P 0,95 GALV - 6,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;54,56;70,93;73,66;0;15/04/2025
34;;TUBO RET 40 X 20 P 1,25 GALV - 6,9;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;58,96;76,65;79,6;0;15/04/2025
36;;TUBO RET 40 X 30 P 1,11 GALV - 7,10 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;62,48;81,22;84,35;42;15/04/2025
37;;ROLDANA 1 1/2 - V;ROLDANAS;8302.20.00;UN;10,06;15,09;15,09;31;15/04/2025
40;;TUBO RET 50 X 20 P 1,11 GALV - 7,2 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;65,12;84,66;87,91;285,5;15/04/2025
43;;TUBO RET 50 X 30 P 0,95 GALV - 7,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;61,6;80,08;83,16;0;15/04/2025
44;;TUBO RET 50 X 30 P 1,11 GALV - 8 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;73,04;94,95;98,6;77,5;15/04/2025
45;;ROLDANA 2 - V;ROLDANAS;8302.20.00;UN;14,82;22,23;22,23;24;15/04/2025
46;;TUBO RET 50 X 30 P 1,25 GALV - 9,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;106,39;110,48;0;15/04/2025
48;;TUBO RET 60 X 40 P 0,95 GALV - 9,30;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;81,84;106,39;110,48;0;15/04/2025
49;;TUBO RET 60 X 40 P 1,11 GALV - 10,20;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;92,7;120,51;125,15;0;15/04/2025
50;;TUBO RET 60 X 40 P 1,25 GALV - 11,5 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;102,08;132,7;137,81;96;15/04/2025
53;;TUBO RET 70 X 30 P 1,11 GALV - 10,40 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;91,52;123,55;128,13;35;16/04/2025
56;;TUBO RET 80 X 40 P 1,11 GALV - 12,50;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;110;148,5;154;-1,5;16/04/2025
57;;TUBO RET 80 X 40 P 1,25 GALV - 14,1 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;122,32;165,13;171,25;30,5;16/04/2025
67;;TUBO QUA 20 X 20 P 0,90 - 3,3;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;23,1;32;32;0;16/04/2025
69;;TUBO QUA 20 X 20 P 1,20 - 4,40 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;34,32;44,62;46,33;108,5;16/04/2025
73;;TUBO QUA 25 X 25 P 1,20 - 5,6;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;42,9;55,77;57,92;0;16/04/2025
76;;TUBO QUA 30 X 30 P 1,20 - 6,8;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;51,48;66,92;69,5;0;16/04/2025
81;;TUBO RET 40 X 40 P 1,20 - 8,80;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;68,64;89,23;92,66;0;16/04/2025
82;;TUBO QUA 40 X 40 P 1,50 - 11,3 - OK;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;85,8;115,83;120,12;99;16/04/2025
83;;TUBO QUA 40 X 40 P 2,00 - 15,00;TUBOS GALVANIZADOS / AÇO;7306.61.00;BR;117;157,95;163,8;0;16/04/2025
